gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
BNC2,1.4841897251038263,-1.7929647497864503,0.23501099561659528,-7.629280260194941,2.3606793599750827e-14,3.8914704088661415e-12,11.40988626762174
CD22,4.811817803384256,-2.5030117466893116,0.32864876579178814,-7.6160692119412,2.61517497127676e-14,4.223903817243978e-12,11.374285979706201
HIC1,8.196746610524245,-1.1459131788106913,0.1504461721804187,-7.616765266958633,2.6011172929910376e-14,4.223903817243978e-12,11.374285979706201
ECM2,3.3141839783052447,-1.1486650565219152,0.15103138859019544,-7.605472393812604,2.8386509531362866e-14,4.539002874064922e-12,11.343039542264831
FAIM3,6.9634287835829305,-1.729000572580551,0.22781956089591057,-7.589342046754806,3.215339592546143e-14,5.0904237707735475e-12,11.293246061740307
IL10RA,6.404536879306389,-1.3399046402516028,0.17662336570500803,-7.586225270383979,3.293596075633635e-14,5.113068082464255e-12,11.291318424437225
PLAC9,7.634609156873086,-1.5522356509797925,0.20458203525745292,-7.587350712521785,3.265124595464021e-14,5.113068082464255e-12,11.291318424437225
PCSK7,29.753995592585113,-0.9885757952306893,0.13033652208657318,-7.584794955431215,3.3301327889382145e-14,5.1200791629925045e-12,11.290723324222405
TAF4,10.551175347444548,0.8347132230136797,0.11035555714500851,7.56385310000163,3.9130163031654093e-14,5.902748178076877e-12,11.22894574417241
PTGIS,16.61980936747221,-1.9440668919138016,0.2570148982745459,-7.56402412842671,3.9078719953222946e-14,5.902748178076877e-12,11.22894574417241
CTSO,14.298821918289962,-0.9018726791119719,0.119308585409592,-7.5591599382039485,4.056808272463508e-14,6.062463951092662e-12,11.21735083080421
TCF21,2.959599712691701,-1.2839527199975727,0.17009721901663144,-7.548346336409137,4.408194016034044e-14,6.526576140405959e-12,11.185314591051545
GLIPR2,7.295387742750161,-1.0636937350663986,0.1411437078966814,-7.536246219668772,4.8369291766429634e-14,7.095641975644127e-12,11.149008305792565
LYL1,4.40915807440461,-1.294683429442606,0.17196474624550573,-7.528772365902539,5.1219585718727435e-14,7.378388969751818e-12,11.132038453613951
UCKL1,17.078099657147618,0.6575240145115138,0.08732429356358723,7.529680317799791,5.086469907560193e-14,7.378388969751818e-12,11.132038453613951
C19orf46,2.7637983741451615,2.3445073527209557,0.31156376926435586,7.524967868557548,5.2733290775286894e-14,7.528618924078906e-12,11.123284684976241
