TF,mean_CIN,mean_GS,diff_CIN_vs_GS,stat,pvalue,padj
LYL1,14.296504533021961,16.07302282774542,-1.7765182947234575,-6.293167881009674,1.5759148764079318e-08,6.906215193670054e-08
POU4F2,6.527389544393856,7.385034940407736,-0.8576453960138801,-6.221391907400224,1.6284909279884727e-08,7.033192703486447e-08
ATF6,9.224742351314994,8.852038009149242,0.3727043421657523,6.036662818850107,1.7822313678309896e-08,7.587213537337642e-08
TGIF2,8.82708341227149,8.456614516638021,0.3704688956334685,6.029855704840691,2.6403403969219985e-08,1.1081992088489514e-07
CTCF,35.51678649460967,37.4490556951023,-1.9322692004926338,-6.121010867014258,2.8728668106856818e-08,1.1890476522004628e-07
MYOD1,10.286344111150383,11.437930975806896,-1.1515868646565135,-6.081973367854964,3.717183013419039e-08,1.517425394519005e-07
FLI1,13.092556730887924,14.122792612447016,-1.0302358815590917,-5.984190903182675,5.7725830791795734e-08,2.3246348075615036e-07
YBX1,-0.959347595358619,-0.4506867735251004,-0.5086608218335187,-5.7709384415326035,6.258486248797713e-08,2.4867052028556244e-07
ARNT,11.77758125400364,12.663479212367223,-0.8858979583635822,-5.932663265426672,6.376549000887593e-08,2.500278424032241e-07
TBX21,9.699907739108586,11.267582487633744,-1.5676747485251585,-5.91665868783167,6.492416960962863e-08,2.5126496809960166e-07
POU2F2,13.001742437145673,14.439580955225072,-1.437838518079399,-5.903113859310376,7.166124618100845e-08,2.7144376810800116e-07
MITF,40.97171022620658,42.70280907535581,-1.7310988491492267,-5.8813083963301205,7.195992510245669e-08,2.7144376810800116e-07
STAT1,44.79110173974676,46.79538630292823,-2.0042845631814714,-5.784529410618784,7.416419299841003e-08,2.7626161891907734e-07
LHX2,3.8104027672179286,4.39014395580311,-0.5797411885851811,-5.78887980560301,7.605094054525424e-08,2.797923491664909e-07
AHR,8.720843432679871,9.621061872836925,-0.9002184401570545,-5.943587956465196,7.795531722276128e-08,2.8330103088271784e-07
MYB,9.585097679234446,10.400362816046096,-0.8152651368116501,-5.818411195074871,1.0915541360456662e-07,3.9190738860434765e-07
PDX1,8.073096522157982,8.807657900907033,-0.734561378749051,-5.761700226201474,1.268571961381682e-07,4.50041005347311e-07
BATF,11.151054359397957,12.291576011818941,-1.1405216524209845,-5.733472483838582,1.3182452788271335e-07,4.6216128598880684e-07
HOXA9,7.000993660349038,7.537597744408296,-0.5366040840592579,-5.721474401498759,1.3469159685087558e-07,4.667220449018712e-07
BCL11A,9.18942445818801,10.02949750739536,-0.8400730492073514,-5.685380182570164,1.7505935706882845e-07,5.996286023736882e-07
FOS,40.04219150688244,41.66355773167971,-1.6213662247972707,-5.581121081913979,2.010858634560596e-07,6.809498557943836e-07
RARG,3.415608822247666,3.9496598584048352,-0.5340510361571691,-5.557209750988616,2.6982145616544063e-07,9.034471228910259e-07
MAFK,10.725566677215033,11.612627874395676,-0.8870611971806426,-5.60340970068661,2.777766832714834e-07,9.197494623878007e-07
TBP,11.366183201297913,11.791012929321017,-0.4248297280231039,-5.504651564548462,3.256127467584608e-07,1.0662922915826519e-06
CEBPE,-0.7431417359086093,-0.23075158577818972,-0.5123901501304196,-5.40161632058715,3.832759535850219e-07,1.2414808061775709e-06
SREBF2,13.41855142959231,12.319988485731953,1.0985629438603564,5.512741972834786,4.2241033992300656e-07,1.3535299064199565e-06
MAFF,9.470558749094062,10.058371711885629,-0.5878129627915669,-5.3594671105852125,4.328196766759928e-07,1.3600468021212463e-06
POU5F1,8.968982964829237,9.88129881792303,-0.9123158530937925,-5.463399485615276,4.3357196711918926e-07,1.3600468021212463e-06
NFE2L1,10.659338892561788,11.610332551374873,-0.9509936588130845,-5.480269571761923,5.329979568005741e-07,1.6545144909017818e-06
NANOG,2.452500908086706,3.182779991935637,-0.7302790838489313,-5.395092250738438,5.425869745311955e-07,1.6669166846422293e-06
PAX5,6.225316140143476,7.464046522193472,-1.2387303820499964,-5.459877183724934,6.870409508998563e-07,2.0891653404913997e-06
