TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
NFYA,-0.011501290514498538,-0.5863009810966407,0.5747996905821422,0.0006615485250702394,0.0012733853112623685
SNAPC4,0.04723872363756354,-1.1400752946113484,1.187314018248912,0.0007157410864426221,0.0013697803550884666
JUN,-0.4986292508440422,0.7495846606131548,-1.248213911457197,0.0007319659217721197,0.0013928265825720904
CLOCK,0.27175526151175894,1.1161498514809713,-0.8443945899692125,0.0007485318475215474,0.0014162562796856551
SP4,1.1067018266877537,-0.12308774426606615,1.2297895709538198,0.0008274771680488895,0.0015567790788716396
PAX8,0.05940579540172025,0.48998247891895413,-0.4305766835172339,0.0010426635673656517,0.0019397037314679442
HOXA5,0.02835640146950935,0.6151304182505134,-0.586774016781004,0.0010426635673656517,0.0019397037314679442
MYB,0.3999351669862604,0.807866233105613,-0.4079310661193526,0.001162382818873709,0.0021504082149163615
SREBF1,0.25587170838840134,-0.571811219743241,0.8276829281316423,0.0012137328200452038,0.0022330001606356512
HOXA10,0.14738157175626165,0.37093392846493844,-0.2235523567086768,0.0013086663277187662,0.0023944279512656545
STAT2,-0.6050716977205675,-1.516226715802491,0.9111550180819235,0.0014407933888800468,0.0026217715764866424
MITF,0.2856843743539812,2.5524160361015618,-2.2667316617475803,0.0015355955953506842,0.0027790942024553144
ATF1,0.5367286054174867,-0.39996235444863093,0.9366909598661176,0.0016019536669022994,0.002883516600424139
PPARG,-0.3617169842036677,0.6592913429290915,-1.0210083271327592,0.0017426550301764228,0.003119914650799725
ZBTB11,-0.02067364811358747,-0.9849604708514961,0.9642868227379086,0.0017795628373017864,0.003168954143430454
NFIA,-0.20500863372362638,-0.5435852874276658,0.3385766537040394,0.002167777760788984,0.0038397340124613384
NR1H4,0.006621177785024461,0.4179909330127839,-0.4113697552277594,0.0022128670381293537,0.0038988609719421948
ELK1,0.40138137506955673,-0.6675301698778204,1.0689115449473772,0.0023056341949316077,0.004040927299538028
CREM,0.22264813658126426,0.7664018548496455,-0.5437537182683813,0.0026057188161956618,0.0045429547947285626
KLF4,-0.3418338683355203,0.2455104772237885,-0.5873443455593088,0.0026322718221945493,0.004565346441618672
FOSL2,-0.06318924908590813,0.6889214972895119,-0.7521107463754201,0.002941122125603813,0.005074578589772382
FOXJ2,-0.123780846946686,0.8055437832266008,-0.9293246301732868,0.0032827093895823767,0.00563475374603573
RFX1,0.1468101897525021,0.5869847119175637,-0.44017452216506164,0.0035185078715929846,0.006008528826874173
ATF3,0.01730752102372466,0.35051104025259033,-0.33320351922886565,0.003769619426500816,0.006404506474616183
XBP1,-0.05863388141792647,0.5420386023179765,-0.600672483735903,0.0039588406021638526,0.006691847312287121
REL,-0.4293097525552419,0.13671042235092296,-0.5660201749061649,0.004279593820209855,0.007197498697625665
ELF3,-0.05932240344352116,-0.7842946409626734,0.7249722375191523,0.004759123095768791,0.007963758748196017
NRF1,0.0274768875141275,-0.6356938990170085,0.6631707865311359,0.004805042399263507,0.008000395594773738
