TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
VDR,-0.3686327159979629,0.11924841135987597,-0.48788112735783884,0.055979526931443334,0.07799657936473067
RXRG,-0.012294804832465367,0.4855912632537134,-0.49788606808617875,0.05758096045749369,0.0798935826347725
KLF1,0.14329207783735218,0.6369101395862822,-0.49361806174892997,0.05839585205126967,0.08068804453557178
ZFX,-0.16039560112351045,-0.7049080823191078,0.5445124811955974,0.06392919771698152,0.08796868942047457
HNF1B,0.26079634952396963,0.44382494082004403,-0.1830285912960744,0.06894311817943401,0.09409040308914558
SNAI2,0.07819243763130873,0.48095623800883813,-0.4027638003775294,0.06894311817943401,0.09409040308914558
GABPA,0.5914230114892374,-0.16329290929800694,0.7547159207872443,0.06988857444262181,0.09499140934446149
E2F7,-0.539504056326638,-0.29886505746151787,-0.24063899886512014,0.07528056376217392,0.10190417777562566
SP1,-0.36387616682884344,0.3912016879566372,-0.7550778547854806,0.07888533328709368,0.10635148171903723
YY1,0.3941395653728236,0.008551853135577303,0.38558771223724625,0.08372505322304152,0.11242114001319689
HINFP,-0.24302124297534522,-0.46264539832277485,0.21962415534742963,0.08539073282240317,0.11419724509984037
ZNF766,-0.08747691597920407,0.16566689278084581,-0.2531438087600499,0.09172868990206885,0.12218261494955572
RFX5,-0.6039917155971529,-0.8111497128989481,0.20715799730179518,0.09473193328992453,0.1256802142850393
