Gene,Mean_CIN,Mean_GS,Delta_Z,p_value,q_value,neg_log10_q
PDE6B,0.1450890625,0.1669333333333333,-0.02184427083333329,0.9119143544554282,0.9407277775393326,0.02653603206314281
DNAJC13,0.12333359374999998,0.10489814814814816,0.018435445601851827,0.9122535406387234,0.9409654462157786,0.02642632428086716
SRSF4,-0.18142343749999995,-0.1616092592592592,-0.01981417824074075,0.9122215246823362,0.9409654462157786,0.02642632428086716
ZCCHC9,-0.29007109374999995,-0.3064611111111112,0.01639001736111123,0.9124452478119596,0.9411176873129397,0.02635606439979997
RNF10,0.30424296875,0.2813333333333333,0.022909635416666685,0.9127138256760198,0.9413491961132109,0.026249243933674442
CSMD2-AS1,0.07178593750000001,0.09164074074074074,-0.019854803240740737,0.9127604580084319,0.9413517847735242,0.0262480496485479
IFNA22P,-0.03939843749999998,-0.02427037037037037,-0.015128067129629611,0.912812187362809,0.9413596296106695,0.026244430432710953
ZNF484,-0.02322265624999998,-0.04131296296296297,0.018090306712962988,0.912979435648553,0.9414865996211454,0.02618585700898217
KRTAP20-1,0.052360937499999975,0.07577037037037039,-0.023409432870370415,0.9132701397362601,0.9416498371966514,0.026110564346089545
ANGPT4,0.15084843750000002,0.17322592592592598,-0.022377488425925962,0.9132382511563375,0.9416498371966514,0.026110564346089545
OTUD5,0.1742609375,0.15186851851851849,0.022392418981481504,0.9132142263255343,0.9416498371966514,0.026110564346089545
KCNK4,-0.12930234374999997,-0.1444462962962963,0.01514395254629633,0.913497158122697,0.9418383931062554,0.026023609949425597
POU3F3,0.09413593750000002,0.07563703703703706,0.01849890046296296,0.9138562362258025,0.9421417873733458,0.025883733258001054
